# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 15 Mar 2026 03:00:31 +0100
#
# IP	number of (black)lists
#
2.57.121.25	9
2.57.121.112	9
162.142.125.125	9
162.142.125.192	9
167.94.146.53	9
3.143.162.210	8
14.63.217.28	8
66.132.153.125	8
66.240.192.138	8
71.6.199.23	8
80.82.77.33	8
80.82.77.139	8
80.94.95.115	8
80.94.95.116	8
93.123.109.176	8
93.174.95.106	8
94.26.106.200	8
101.36.118.177	8
107.150.119.229	8
130.12.182.185	8
163.43.147.180	8
167.94.146.52	8
167.94.146.63	8
185.91.69.217	8
185.156.73.233	8
198.12.67.159	8
206.168.34.196	8
213.209.159.159	8
2.57.122.238	7
3.131.220.121	7
14.63.196.175	7
36.64.68.99	7
36.255.3.203	7
40.160.34.88	7
42.116.108.125	7
43.252.231.122	7
45.15.224.178	7
45.66.228.255	7
45.148.10.121	7
45.148.10.192	7
45.156.129.161	7
45.175.37.18	7
45.232.73.84	7
45.249.245.88	7
47.180.114.229	7
50.84.211.204	7
51.158.120.121	7
58.222.244.226	7
59.12.160.91	7
61.240.156.16	7
61.245.11.87	7
62.178.191.71	7
66.132.153.118	7
66.132.153.120	7
66.132.153.122	7
66.132.153.128	7
66.132.153.131	7
66.132.153.137	7
66.132.153.139	7
66.132.153.142	7
71.6.134.233	7
71.6.135.131	7
71.6.158.166	7
79.3.96.178	7
80.82.70.133	7
80.94.92.168	7
80.94.92.171	7
80.94.92.182	7
80.94.92.184	7
81.211.72.167	7
82.24.64.32	7
82.165.66.87	7
85.18.236.229	7
85.217.149.25	7
87.106.91.226	7
89.248.167.131	7
91.224.92.50	7
92.27.101.99	7
92.118.39.56	7
92.118.39.72	7
94.26.106.201	7
95.167.225.76	7
101.36.104.242	7
101.47.158.137	7
101.126.54.66	7
103.182.132.154	7
109.105.210.72	7
113.56.161.85	7
114.111.54.188	7
118.70.178.158	7
119.96.173.169	7
121.165.84.80	7
121.165.204.105	7
125.17.108.32	7
125.21.59.218	7
130.12.181.157	7
134.65.30.157	7
138.124.67.78	7
147.45.50.108	7
152.32.162.42	7
152.228.131.33	7
154.221.27.234	7
157.66.26.151	7
161.49.89.39	7
162.142.125.42	7
162.142.125.46	7
162.142.125.114	7
162.142.125.116	7
162.142.125.117	7
162.142.125.195	7
162.142.125.198	7
162.142.125.200	7
162.142.125.205	7
162.142.125.208	7
162.142.125.211	7
162.142.125.215	7
162.142.125.219	7
163.7.1.156	7
167.94.138.35	7
167.94.146.48	7
167.94.146.49	7
167.94.146.55	7
167.94.146.58	7
167.94.146.62	7
171.104.143.176	7
176.32.195.85	7
176.65.134.22	7
176.120.22.13	7
176.120.22.17	7
177.229.197.38	7
182.93.50.90	7
185.177.72.52	7
185.211.94.76	7
185.242.3.105	7
187.16.96.250	7
187.210.77.100	7
189.217.130.86	7
190.129.122.185	7
193.46.255.86	7
197.5.145.8	7
197.5.145.73	7
197.153.57.103	7
197.227.8.186	7
198.44.177.67	7
199.45.155.78	7
200.196.50.91	7
203.121.40.210	7
203.150.107.244	7
206.168.34.33	7
206.168.34.39	7
206.168.34.60	7
206.168.34.61	7
206.168.34.117	7
211.20.14.156	7
213.67.210.12	7
217.154.69.208	7
218.145.181.48	7
218.157.205.238	7
219.150.93.157	7
220.80.223.144	7
220.247.223.56	7
221.156.126.1	7
221.159.150.85	7
221.161.235.168	7
221.229.218.50	7
222.104.120.107	7
222.107.156.227	7
223.197.186.7	7
1.55.33.86	6
1.94.6.230	6
1.162.198.143	6
2.81.52.147	6
3.129.187.38	6
3.130.168.2	6
3.132.26.232	6
3.134.216.108	6
4.235.115.64	6
5.101.64.6	6
5.180.183.198	6
5.182.83.231	6
5.195.226.17	6
8.154.2.19	6
14.22.82.116	6
14.22.89.30	6
14.29.179.132	6
14.29.181.34	6
14.29.198.130	6
14.53.61.63	6
14.103.21.179	6
14.103.41.98	6
14.103.41.249	6
14.103.105.36	6
14.103.107.250	6
14.103.112.105	6
14.103.112.112	6
14.103.114.22	6
14.103.114.136	6
14.103.114.195	6
14.103.115.117	6
14.103.115.233	6
14.103.117.142	6
14.103.118.140	6
14.103.120.138	6
14.103.121.78	6
14.103.122.180	6
14.103.123.8	6
14.103.123.232	6
14.103.163.136	6
14.116.156.100	6
16.58.56.214	6
18.116.101.220	6
18.218.118.203	6
20.26.135.100	6
20.62.5.253	6
20.65.195.47	6
20.106.17.55	6
20.163.60.199	6
23.239.16.74	6
27.79.0.20	6
27.110.166.67	6
27.111.32.174	6
27.112.78.170	6
27.112.79.121	6
27.112.79.150	6
