################################################################
# ThreatFox IOCs: recent additions - CSV format                #
# Last updated: 2026-03-15 04:51:02 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","is_compromised","reference","tags","anonymous","reporter"
"2026-03-15 04:51:02", "1766774", "nutrivet.com.vn", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-03-15 04:49:31", "1766773", "trace-44-alpha.froidelumiere.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 04:49:55", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-03-15 04:31:52", "1766769", "db-v12-point.mondofuturo.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 04:33:08", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-03-15 04:21:52", "1766768", "nutri.claudineroberto.com.br", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-03-15 04:19:35", "1766767", "base-x5-infra.mondofuturo.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 04:20:23", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-03-15 04:10:32", "1766766", "nutracomplete.com", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-03-15 04:07:47", "1766765", "net-88-global.mondofuturo.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 04:08:45", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-03-15 04:01:14", "1766764", "202.191.67.71:50003", "ip:port", "botnet_cc", "win.adaptix_c2", "None", "AdaptixC2", "", "100", "False", "https://search.censys.io/hosts/202.191.67.71", "AdaptixC2,AS131262,C2,censys,KELNET-AS-AP", "0", "DonPasci"
"2026-03-15 04:00:52", "1766763", "45.143.200.173:8888", "ip:port", "botnet_cc", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "100", "False", "https://search.censys.io/hosts/45.143.200.173", "AS215540,C2,censys,DcRAT,GCS-AS,RAT", "0", "DonPasci"
"2026-03-15 04:00:43", "1766762", "193.24.123.13:9000", "ip:port", "botnet_cc", "win.sectop_rat", "1xxbot,ArechClient", "SectopRAT", "", "100", "False", "https://search.censys.io/hosts/193.24.123.13", "AS200593,C2,censys,PROSPERO-AS,RAT,Sectop", "0", "DonPasci"
"2026-03-15 04:00:12", "1766760", "http://tve-mail.com/forum/index.php", "url", "botnet_cc", "win.amadey", "None", "Amadey", "", "100", "False", "None", "Amadey", "0", "abuse_ch"
"2026-03-15 04:00:11", "1766759", "135.181.229.241:80", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "False", "https://search.censys.io/hosts/135.181.229.241", "AS24940,C2,censys,CobaltStrike,cs-watermark-0,HETZNER-AS", "0", "DonPasci"
"2026-03-15 04:00:09", "1766757", "114.132.251.233:5001", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "False", "https://search.censys.io/hosts/114.132.251.233", "AS45090,C2,censys,CobaltStrike,cs-watermark-666666666,TENCENT-NET-AP", "0", "DonPasci"
"2026-03-15 04:00:09", "1766758", "114.132.251.233:5003", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "False", "https://search.censys.io/hosts/114.132.251.233", "AS45090,C2,censys,CobaltStrike,cs-watermark-666666666,TENCENT-NET-AP", "0", "DonPasci"
"2026-03-15 04:00:06", "1766756", "103.54.62.177:48711", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "False", "https://search.censys.io/hosts/103.54.62.177", "AS138415,C2,censys,CobaltStrike,cs-watermark-987654321,YANCYLIMITED-AS-HK", "0", "DonPasci"
"2026-03-15 03:52:38", "1766755", "flow-v3-work.starkewand.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 03:52:55", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-03-15 03:47:36", "1766754", "hub-x0-local.starkewand.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 03:48:27", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-03-15 03:46:14", "1766753", "nursing.makatimed.net.ph", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-03-15 03:42:57", "1766752", "link-v2-power.starkewand.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 03:43:52", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-03-15 03:37:16", "1766751", "sys-99-monitor.starkewand.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-03-15 03:37:50", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
